ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
MET var2 delta10,1.56,1.17,1.42,1.81,7.24,0,0,14.58,0,1.89,5.83,0.82,0,1.19,2.22,8.06,5.12,25.79,0,9.06,2.22,7.74,4.93,23.21,26.85,12.23,24.56,76.88,73.91
MST1R (RON),187.87,54.95,22.46,33.35,78.57,57.74,92.75,157.99,25.3,85.61,53.46,185.71,243.35,30.23,90.72,122.17,77.85,134.69,21.27,79.25,27.77,152.13,68.15,64.51,71.46,47.35,52.4,30.19,14.86
MYC,636.32,3953.41,1561.43,1139.96,3354.33,1791.44,1218.94,1549.8,1085.06,351.38,1420.82,167.23,984.55,587.27,1636.27,253.9,1157.91,1877.97,573.29,1739.78,2506.57,3259.39,3158.13,798.78,3200.87,2629.54,3747.18,7456.09,4881.96
NAMPT,2500.36,992.89,4403.06,2924.18,807,907.72,705.91,3201.22,1232.22,1782.81,1070.01,1967.6,1491.3,1986.34,1182.28,644.51,2645.05,1978.46,1486.86,1231.46,3533.04,1382.61,3025.81,15086.47,1755.78,1255.38,2452.08,4688.46,2596.67
NAPRT1,42.24,43.75,9.24,32.63,42.11,14.96,29.93,45.37,32.8,3.77,11.65,14.8,85.94,48.2,72.09,29.74,17.93,40.12,12.02,26.22,58.31,64.22,72.71,38.62,82.46,62.25,73.92,36.69,21.73
NOX1,107.94,0,0.57,1.45,0,0,0,0,0,0,5.83,3.95,0,5.71,0,0.4,0,0,0.74,0,0,0.62,0.49,8.64,2.05,0,0.73,16.22,0.97
NOX3,0,0,0,0,0,0,0,0.32,0,0,0,0.66,0,0,0.44,0,0.26,0,0.37,0,0,0,0,0,0,0,0,0,0
NOX4,290.33,28,17.06,50.75,98.44,51.46,20,49.58,58.11,64.87,142.16,115.14,78.7,52.84,94.05,87.9,383.1,145.58,108,78.47,79.97,45.19,33.03,156.87,277.16,129.38,115.35,193.47,138.07
NQO1,2192.82,132.07,137.59,189.6,1010.99,546.91,1078.1,600.84,323.14,972.68,996.89,1505.06,344.67,158.53,236.46,1843.02,21.51,114.63,236.34,778.24,1081.19,1399.95,634.89,142.15,216.56,279.66,219.79,123.57,70.01
NTRK1,6.26,1.87,16.49,2.9,4.74,1.8,0,2.59,0.75,2.26,4.37,7.24,9.95,7.14,5.32,2.02,6.66,11.46,13.32,4.66,1.78,3.1,4.44,12.17,3.07,2.67,5.82,3.35,3.57
NTRK2,55.69,0.47,9.67,443.38,23.16,39.49,498.59,18.8,282.28,5590.58,295.98,30.92,48.85,12.85,1010.15,24.6,2552.09,666.56,91.73,38.33,21.33,485.32,1.97,34.74,1563.76,1518.15,962.86,1067.97,1096.43
OGDH,706.22,129.78,427.28,569.31,339.14,415.17,347.74,410.58,681.84,926.21,509.02,406.28,727.02,274.65,683.03,537.96,244.65,333.52,537.02,414.27,703.35,652.84,379.27,305.56,775.8,681.72,599.44,678.51,604.26
PARP1,1404.73,619.3,886.35,1030.31,1681.65,592.38,765.92,745.7,747.88,1577.64,1021.07,1877.46,1481.8,1168.48,1544.29,727.17,845.32,1146.84,770.8,1335.31,1095.86,1550.68,1310.93,506.32,975.43,882.57,802.2,1216.15,852.62
PC,101.37,85.17,126.5,50.39,52.12,38.3,117.9,165.28,82.85,113.15,23.31,76.98,52.47,59.74,75.42,61.29,115.49,107.75,52.52,41.44,39.99,299.92,59.64,55.87,107.13,91.15,115.35,56.47,92.75
PDCD1 (PD1),5.63,2.33,1.71,5.8,1.58,3.59,0,0,3,1.13,2.33,0.66,5.43,6.9,12.42,3.23,0,12.61,8.14,1.55,1.33,4.33,3.45,5.44,1.53,3.11,1.46,6.15,2.44
PDGFRA,1717.27,39.67,117.12,1729.64,367.71,358.42,69.11,120.56,4100.4,88.25,528.74,1253.07,810.56,723.13,2989.21,1435.38,1131.62,889.51,3716.78,440.79,627.35,2044.98,307.58,240.43,2921.18,3437.34,5644.14,3564.57,10369.81
PDGFRB,774.63,123.91,218.32,1802.51,338.23,245.93,71.53,339.96,2032.21,509.16,390.95,418.79,392.61,337.28,1370.39,597.14,488.86,582.31,1363.69,421.88,364.77,522.78,178.44,468.86,1697.74,1831.82,2151.87,1783.68,2459.42
PDHA1,418.92,350.49,345.67,374.5,581.96,100.53,275.51,460.19,600.18,636.26,885.6,880.34,787.94,438.68,894.37,291.91,332.65,397.76,564.41,545.16,694.66,721.79,304.13,252.28,653.53,679.15,595.69,792.59,823.87
PDK1,1026.8,408.12,297.92,557.94,600.65,338.08,406.15,883.43,463.35,216.49,545.64,1373.47,398.49,725.27,929.41,216.72,516.26,482.58,2436.3,1613.46,303.01,392.78,559.96,336,559.95,464.85,379.9,577.04,340.79
PFKFB1,0.63,1.63,1.14,0.73,1.05,1.2,2.12,0.65,1.12,15.09,4.66,7.9,0,1.9,0,2.42,1.02,3.44,0,4.66,2.67,2.17,0.49,1.6,4.09,0.89,1.46,1.96,0
