ROI,N13_02,N13_04,N13_08,N13_09,N13_11,N13_13,N13_16,N14_01,N14_03,N14_04,N14_08,N14_11,N15_01,N15_02,N15_03,N15_04,N15_07,N15_09,N15_12,N15_13,N15_14,N15_15,N15_17,N15_18,N16_01,N16_02,N16_05,N16_07,N16_09,N16_11,N16_13,N16_16,N16_19,N17_03,N17_05,N17_06,N17_07
,A,G,G,G,G,G,G,G,G,G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
PGD,638.81,523.48,1109.12,227.55,658.17,1307.85,555.57,1152.98,735.26,806.61,551.78,466.22,343.08,713.07,990.53,677.54,708.85,998.47,1161.72,1187,341.43,613.41,1258.21,637.5,1129.9,671.11,997.2,393.06,484.78,527.3,1108.98,984.34,569.15,838.36,1218.41,613.25,1103.97
PGK1,2215.19,6350.52,2185.53,7252.26,1777.08,5298.33,7084.96,1702.91,4879.1,4776.32,1418.77,5422.43,5222.58,6213.52,4298.11,2422.06,5391.49,3589.51,4317.82,1799.57,3011.88,1448.55,2426.64,2764.47,3473,3542.55,2432.71,4407.1,6022.84,1512.06,3905.61,2269.11,2741.16,2029.99,1897.77,4481.71,2655.19
PGK2,0,0,0,0,0,0,0.36,0,1.09,5.32,1.53,0,0.41,0,0,0,0,0,0,0,0,0.26,0,0,1.03,0,0,0,0,0,0,0,0,0,0.34,0,0
PKM,5009,4416.14,2772.24,7480.56,6053.37,5286.01,5048.03,6110.83,7059.78,7170.91,5555.43,6488.15,5248.58,7095.43,3562.21,4670.4,2223.73,4670,7273.19,3319.43,5240.98,3063.65,3798.17,3895.33,6041.92,5743.9,4596.11,3624.04,4909.88,2501.59,5844.39,3922.15,2462.21,3793.69,2910.67,6632.5,5859.83
PRDX1,559.73,593.11,767.55,221.28,443.1,933.39,461.45,1081.39,748.71,416.82,564.82,517.13,413.43,860.12,1506.93,526.1,852.2,896.43,697.74,2194.42,445.68,563.47,725.17,1033.24,706.71,1303.9,2020.78,1018.84,402.81,482.08,1779,638.02,449.31,869.24,1662.56,486.17,801.96
PRKAA1,145.26,116.73,120.47,62.63,100.31,273.19,118.78,208.63,247.33,66,170.64,138.15,85.62,115.97,167.47,121.67,242.83,216.26,263.5,279.96,163.66,118.97,136.64,137.49,145.89,169.37,340.9,187.03,82.83,93.45,186.4,187.15,94.07,259.97,334.9,211.39,273.38
PRKAA2,57.58,23.89,16.21,26.57,38.68,12.33,40.49,24.12,30.19,34.55,67.49,48.05,8.25,1.89,31.17,35.56,56.63,39.79,20.14,62.49,31.87,21.96,26.58,32.08,49.67,4.09,37.4,25.14,15.84,21.6,48.68,9.85,27.27,43.16,28.68,41.87,65.54
PTEN,419.71,292.05,438.42,150.78,296.89,413.64,507.25,497.58,565.4,505.85,495.61,343.23,254.79,83.19,836.93,601.39,688.83,758.12,1009.95,774.07,393.9,552.49,197.96,260.2,1171.94,841.51,1620.16,412.07,536.9,319.8,430.36,504.04,779.67,363.9,754.47,287.9,568.3
RPIA,78.89,59.27,68.2,31.88,66.73,86.29,71.99,89.3,95.11,235.65,138.43,135.57,49.93,98.16,86.11,35.56,68.36,132.89,73.08,96.19,63.28,60.92,59.46,57.29,145.64,71.53,166.97,84.93,64.64,29.14,134.58,102.98,60.54,114.88,103.1,86.39,108.34
SDHA,437.47,446.4,578.86,332.21,562.01,1650.58,433.78,554.84,870.41,354.25,774.84,860.52,455.34,457.81,638.15,708.93,940.19,769.58,828.74,1080.52,602.38,633.32,545.18,635.95,818.4,577.11,881.87,711.61,281.55,612.96,671.46,428.87,404.57,687.68,773.57,896.63,907.84
